batch,objection,entry_id,declared_form,proposed_variant,shift
BULK,life-gift,pos-life-gift-01,life is a gift,life was a gift,is->was
BULK,life-gift,pos-life-gift-01,life is beautiful,life was beautiful,is->was
BULK,life-gift,pos-life-gift-01,life is a blessing,life was a blessing,is->was
BULK,natural-reproduce,pos-natural-reproduce-01,reproduction is natural,reproduction was natural,is->was
BULK,natural-reproduce,pos-natural-reproduce-01,natural to have kids,natural to had kids,have->had
BULK,natural-reproduce,pos-natural-reproduce-01,natural to have children,natural to had children,have->had
BULK,natural-reproduce,pos-natural-reproduce-02,meant to have children,meant to had children,have->had
BULK,just-edgy,pos-just-edgy-02,this is immature,this was immature,is->was
BULK,selfish-lazy,pos-selfish-lazy-01,this is selfishness,this was selfishness,is->was
BULK,selfish-lazy,pos-selfish-lazy-02,too lazy to have kids,too lazy to had kids,have->had
BULK,change-your-mind,pos-change-your-mind-02,this is a phase,this was a phase,is->was
BULK,privileged-first-world,pos-privileged-first-world-02,easy for you to say,easy for you to said,say->said
BULK,privileged-first-world,pos-privileged-first-world-02,you have it easy,you had it easy,have->had
BULK,animals-reproduce,pos-animals-reproduce-01,animals have babies,animals had babies,have->had
BULK,animals-reproduce,pos-animals-reproduce-02,just what living things do,just what living things did,do->did
BULK,animals-reproduce,pos-animals-reproduce-02,its what nature does,its what nature did,does->did
BULK,happiness-is-choice,pos-happiness-is-choice-01,happiness is a choice,happiness was a choice,is->was
BULK,happiness-is-choice,pos-happiness-is-choice-02,life is what you make it,life was what you make it,is->was
BULK,speak-for-everyone,pos-speak-for-everyone-01,my life is great,my life was great,is->was
BULK,speak-for-everyone,pos-speak-for-everyone-02,some are glad to be alive,some were glad to be alive,are->were
BULK,playing-god,pos-playing-god-02,who are you to decide,who were you to decide,are->were
BULK,playing-god,pos-playing-god-02,you dont get to decide that,you didnt get to decide that,dont->didnt
BULK,adoption-instead,pos-adoption-instead-02,adoption solves the problem,adoption solved the problem,solves->solved
BULK,economy-population,pos-economy-population-01,the economy needs growth,the economy needed growth,needs->needed
BULK,economy-population,pos-economy-population-01,we need population growth,we needed population growth,need->needed
BULK,economy-population,pos-economy-population-01,we need more workers,we needed more workers,need->needed
BULK,ai-fear,pos-ai-fear-01,ai is dangerous,ai was dangerous,is->was
BULK,ai-fear,pos-ai-fear-02,your philosophy is reckless about ai,your philosophy was reckless about ai,is->was
BULK,policy-proposal,pos-policy-proposal-01,what is your policy proposal,what was your policy proposal,is->was
BULK,policy-proposal,pos-policy-proposal-01,what do you actually propose,what did you actually propose,do->did
BULK,policy-proposal,pos-policy-proposal-02,what do you want to do about it,what did you want to do about it,do->did
BULK,policy-proposal,pos-policy-proposal-02,what should we actually do,what should we actually did,do->did
BULK,pinker-better-world,pos-pinker-better-world-01,the world is getting better,the world was getting better,is->was
BULK,pinker-better-world,pos-pinker-better-world-01,there is less violence than ever,there was less violence than ever,is->was
